region;ind1;ind2;ind3;ind4;ind5;ind6;ind7;ind8;ind9;ind10;ind11;ind12
Орловская область;1.05793482230069;522537.5;0.930709601407167;13.1679389312977;19.31330472103;0.235480474238254;0.0348972352286072;0.82;0.879741910170939;3.64334346358004;3.3795337628866;0.805893195264033
Рязанская область;0.653777680160539;479094.967177243;4.92778565352901;10.1983002832861;19.0909090909091;0.446997973348357;0.0275828071081481;1.31;7.53740270288663;2.59520474551725;13.3484644201313;0.653544804864459
Смоленская область;0.917565155789062;1137377.0984456;4.30856883915315;6.35135135135135;14.7368421052632;0.208047672022008;0.0174630688432981;0.43;4.69565437611674;2.53724558791777;19.4731959585492;0.828040938564427
Тамбовская область;1.73746139312117;573939.190897598;6.21251014537749;8.50722311396469;15.2777777777778;0.16276691407512;0.03004294494939;0.86;3.57562485703199;2.98588479608516;29.7487350189633;1.38907813031971
Тверская область;0.942540011090643;821063.493174659;6.15104880481699;10.3377686796315;21.195652173913;0.467790871119276;0.0420798928518215;0.86;6.52603468546593;1.81862792966747;12.0169831641582;0.835853695350644
Тульская область;2.64353555986909;700383.135200484;10.9169499748704;14.4736842105263;23.0392156862745;0.654169390724846;0.0315024147457663;0.8;4.12967774695304;2.21405162919386;29.4601684666532;3.52538977053485
Ярославская область;2.22755892158203;659152.738810955;5.16401287252502;10.5960264900662;22.1238938053097;0.983146298014169;0.118706541994697;0.96;2.31823850875177;2.59740476168653;5.55934794589178;1.91897155386783
г. Москва;3.17686108340743;1112139.92774691;4.35326906614737;11.316140506892;31.5960912052117;2.94048105420211;0.534391809077099;4.09;1.37030513826502;6.24447008576263;4.74931501722368;2.53410263677548
Республика Карелия;1.81090140419951;861591.037260826;2.94593444277218;5.49450549450549;11.3095238095238;0.359847798514224;0.112701576372531;0.59;1.62677793276901;2.03308238906987;9.06840805639476;1.41422841237013
Республика Коми;0.531791142190816;1108251.43678161;1.2987172735418;10.7365792759051;17.2549019607843;0.372638882939992;0.12983466826573;0.59;2.44215664855094;1.7799884446562;11.1836628591954;0.653330852381268
Ненецкий автономный округ;0.00252780877615126;923596.296296296;0.0550249626682117;2.24719101123596;4.47761194029851;0.119930706702794;;0;;0;12.779662962963;
Архангельская область;0.29134109330418;1254259.71659919;2.90116019005998;5.16372795969773;13.0630630630631;0.200366662881062;;0.63;;1.79245409524753;14.9685321862348;
Вологодская область;0.137560518584004;1119411.50592217;0.703444292676064;9.33333333333333;17.5182481751825;0.111075401591141;0.0182306496689352;1.06;5.11370776962063;1.6340817728958;15.8161201353638;0.17847115349879
Калинингpадская область;0.405438610015659;865548.788927336;0.669346312960164;5.72687224669604;14.0287769784173;0.274083290972133;0.0489366706372389;0.74;1.65091902059923;2.0591066251414;3.39370934256055;0.402490733157762
Ленинградская область;1.62273940468951;848783.386689132;3.309259393886;7.11768851303735;14.6025878003697;0.581941478356876;0.0431430919085131;0.33;2.03930426803137;0.319669421815738;12.4961645998315;2.19367424868923
Мурманская область;0.375330224908143;1127390.86134454;15.4463048014513;10.334788937409;19.7044334975369;0.507172062917039;0.111077074703994;0.53;41.1539060176451;1.03645336866228;101.955121218487;0.410647690412927
Новгородская область;1.26790626514633;838895.065176909;7.69689526535795;9.86842105263158;21.4285714285714;0.386950334168003;0.0100880906487003;0.77;6.07055543216331;1.53554544951896;28.8281656424581;1.33995421799496
Псковская область;0.395467577914019;628681.395348837;0.429701818398313;9.91189427312775;16.304347826087;0.0437880387371394;0.00882549617957848;0.3;1.08656649089887;1.85163300930881;7.49502868217054;0.345201745116204
г. Санкт-Петербург;2.31297931349254;1004414.04736276;7.96321512477618;15.0334075723831;35.0103376981392;2.32701471473273;0.299100030256069;3.26;3.44283888676545;5.77020260600502;7.10725029035182;1.30526693292691
Республика Адыгея;0.247654965877459;648547.465437788;6.69997759702456;7.49185667752443;21.3333333333333;0.115397910074716;0.0313754686378261;0.28;27.0536775763251;2.84662359927249;28.12106359447;0.114450634761165
Республика Калмыкия;0.223509346114284;550792.715231788;0.26891292581803;2.66666666666667;11.7647058823529;0.121689795786793;0.0378769563044985;0.61;;3.31615547468903;;
Республика Крым;1.28589953630019;561389.389671362;1.10438825761336;6.04332953249715;15.9203980099502;0.246141756851234;0.0503839464728349;0.35;0.858844899183122;1.73668934919239;1.59529061032864;0.603188339820646
Краснодарский край;1.30164318410555;639446.625591059;1.09869825846248;5.0151556902728;10.1185050136737;0.25974364318466;0.0538915024117192;0.85;0.844085592640716;1.73272119432335;4.42066927926637;0.849218835294368
Астраханская область;0.0728943371089227;488589.139633286;0.0768206324179472;6.08695652173913;14.375;0.150427306905653;0.0333104191596439;0.87;1.05386283029308;2.93199072696098;0.704623836389281;0.0619472758390741
